id,ping,download,upload,server_id,server_name,server_host,url,scheduled,failed,created_at,updated_at
1,40.62,114.970456,355.199752,4920,"Norwood Light Broadband",speedtest.norwoodlight.com:8080,https://www.speedtest.net/result/c/1978fbc7-6a98-4714-9842-e512774c5973,0,0,"2022-01-18 00:46:49","2022-01-18 00:46:49"
2,37.186,29.843136,359.453736,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/d67130d9-c644-4752-8042-c7446fa5f2ee,1,0,"2022-01-18 00:48:31","2022-01-18 00:48:31"
3,39.523,69.039376,359.687384,29122,"i3 Broadband",speedtest.fullchannel.net:8080,https://www.speedtest.net/result/c/20e86f4b-8845-47d1-a5d1-0feea62125c5,1,0,"2022-01-18 00:49:32","2022-01-18 00:49:32"
4,86.198,16.920424,370.41608,4981,SELCO,speedtest.townisp.com:8080,https://www.speedtest.net/result/c/dddaa3bd-cd07-4138-aead-06e7f0d2149b,1,0,"2022-01-18 00:50:34","2022-01-18 00:50:34"
5,44.125,30.10836,352.020968,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/99a165f3-9bc0-44dc-8cda-3a7ebdcb4552,1,0,"2022-01-18 00:51:31","2022-01-18 00:51:31"
6,38.196,20.25608,358.150536,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/68652729-1d50-4eb9-b482-80503a81154f,1,0,"2022-01-18 00:52:29","2022-01-18 00:52:29"
7,64.577,30.424656,359.69384,4920,"Norwood Light Broadband",speedtest.norwoodlight.com:8080,https://www.speedtest.net/result/c/33ae32af-1e23-4498-9d28-aead69df3225,1,0,"2022-01-18 00:53:30","2022-01-18 00:53:30"
8,78.175,22.421416,362.159168,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/dd317e7d-7f65-4809-aa40-9191fe84c343,0,0,"2022-01-18 00:58:51","2022-01-18 00:58:51"
9,41.127,28.935448,358.897048,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/c1319458-1f54-48d8-9369-e4cf60bede3d,1,0,"2022-01-18 01:02:31","2022-01-18 01:02:31"
10,47.546,38.292376,355.443728,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/d597d5a1-a375-4e48-b3e8-2c81a2106160,1,0,"2022-01-18 01:04:34","2022-01-18 01:04:34"
